payment_id,deterministic_exception,ai_prediction,ai_confidence,confidence_percent,confidence_band,second_prediction,second_confidence,ai_agrees_with_engine,disagreement_reason,review_category,review_priority,controller_decision,automated,human_review_required,actual_exception,deterministic_correct,ai_correct,settlement_exists,bank_transaction_exists,bank_transaction_count,bank_amount_difference,date_difference,date_within_tolerance,utr_present,utr_match_evidence,matching_utr_count,duplicate_evidence,fee_difference,tax_difference,net_difference
PAY0089,DATE_MISMATCH,NO_EXCEPTION,0.994,99.4,HIGH,BANK_AMOUNT_MISMATCH,0.0059,0,AI_FAILED_TO_DETECT_EXCEPTION,AI_FALSE_NEGATIVE_RISK,HIGH,MANDATORY REVIEW,0,1,DATE_MISMATCH,1,0,1,1,1,0.0,16,0,1,1,1,0,0.0,0.0,0.0
PAY0287,DATE_MISMATCH,NO_EXCEPTION,0.994,99.4,HIGH,BANK_AMOUNT_MISMATCH,0.0059,0,AI_FAILED_TO_DETECT_EXCEPTION,AI_FALSE_NEGATIVE_RISK,HIGH,MANDATORY REVIEW,0,1,DATE_MISMATCH,1,0,1,1,1,0.0,12,0,1,1,1,0,0.0,0.0,0.0
PAY0135,DATE_MISMATCH,NO_EXCEPTION,0.9976,99.76,HIGH,BANK_AMOUNT_MISMATCH,0.0024,0,AI_FAILED_TO_DETECT_EXCEPTION,AI_FALSE_NEGATIVE_RISK,HIGH,MANDATORY REVIEW,0,1,DATE_MISMATCH,1,0,1,1,1,0.0,14,0,1,1,1,0,0.0,0.0,0.0
PAY0349,DATE_MISMATCH,NO_EXCEPTION,0.9976,99.76,HIGH,BANK_AMOUNT_MISMATCH,0.0024,0,AI_FAILED_TO_DETECT_EXCEPTION,AI_FALSE_NEGATIVE_RISK,HIGH,MANDATORY REVIEW,0,1,DATE_MISMATCH,1,0,1,1,1,0.0,16,0,1,1,1,0,0.0,0.0,0.0
PAY0212,BANK_AMOUNT_MISMATCH,FEE_MISMATCH,0.9981,99.81,HIGH,NO_EXCEPTION,0.0019,0,AI_EXCEPTION_TYPE_DISAGREEMENT,EXCEPTION_CLASS_DISAGREEMENT,HIGH,MANDATORY REVIEW,0,1,BANK_AMOUNT_MISMATCH,1,0,1,1,1,400.0,0,1,1,1,1,0,0.0,0.0,0.0
PAY0216,BANK_AMOUNT_MISMATCH,FEE_MISMATCH,0.9981,99.81,HIGH,NO_EXCEPTION,0.0019,0,AI_EXCEPTION_TYPE_DISAGREEMENT,EXCEPTION_CLASS_DISAGREEMENT,HIGH,MANDATORY REVIEW,0,1,BANK_AMOUNT_MISMATCH,1,0,1,1,1,400.0,0,1,1,1,1,0,0.0,0.0,0.0
PAY0104,BANK_AMOUNT_MISMATCH,FEE_MISMATCH,0.9982,99.82,HIGH,NO_EXCEPTION,0.0018,0,AI_EXCEPTION_TYPE_DISAGREEMENT,EXCEPTION_CLASS_DISAGREEMENT,HIGH,MANDATORY REVIEW,0,1,BANK_AMOUNT_MISMATCH,1,0,1,1,1,400.0,0,1,1,1,1,0,0.0,0.0,0.0
PAY0207,BANK_AMOUNT_MISMATCH,FEE_MISMATCH,0.9982,99.82,HIGH,NO_EXCEPTION,0.0018,0,AI_EXCEPTION_TYPE_DISAGREEMENT,EXCEPTION_CLASS_DISAGREEMENT,HIGH,MANDATORY REVIEW,0,1,BANK_AMOUNT_MISMATCH,1,0,1,1,1,400.0,0,1,1,1,1,0,0.0,0.0,0.0
PAY0182,BANK_AMOUNT_MISMATCH,FEE_MISMATCH,0.9983,99.83,HIGH,NO_EXCEPTION,0.0017,0,AI_EXCEPTION_TYPE_DISAGREEMENT,EXCEPTION_CLASS_DISAGREEMENT,HIGH,MANDATORY REVIEW,0,1,BANK_AMOUNT_MISMATCH,1,0,1,1,1,400.0,0,1,1,1,1,0,0.0,0.0,0.0
PAY0111,BANK_AMOUNT_MISMATCH,FEE_MISMATCH,0.9984,99.84,HIGH,NO_EXCEPTION,0.0016,0,AI_EXCEPTION_TYPE_DISAGREEMENT,EXCEPTION_CLASS_DISAGREEMENT,HIGH,MANDATORY REVIEW,0,1,BANK_AMOUNT_MISMATCH,1,0,1,1,1,400.0,0,1,1,1,1,0,0.0,0.0,0.0
PAY0423,BANK_AMOUNT_MISMATCH,FEE_MISMATCH,0.9984,99.84,HIGH,NO_EXCEPTION,0.0016,0,AI_EXCEPTION_TYPE_DISAGREEMENT,EXCEPTION_CLASS_DISAGREEMENT,HIGH,MANDATORY REVIEW,0,1,BANK_AMOUNT_MISMATCH,1,0,1,1,1,400.0,0,1,1,1,1,0,0.0,0.0,0.0
PAY0326,BANK_AMOUNT_MISMATCH,FEE_MISMATCH,0.9988,99.88,HIGH,NO_EXCEPTION,0.0012,0,AI_EXCEPTION_TYPE_DISAGREEMENT,EXCEPTION_CLASS_DISAGREEMENT,HIGH,MANDATORY REVIEW,0,1,BANK_AMOUNT_MISMATCH,1,0,1,1,1,400.0,0,1,1,1,1,0,0.0,0.0,0.0
PAY0044,DATE_MISMATCH,NO_EXCEPTION,0.9989,99.89,HIGH,BANK_AMOUNT_MISMATCH,0.0011,0,AI_FAILED_TO_DETECT_EXCEPTION,AI_FALSE_NEGATIVE_RISK,HIGH,MANDATORY REVIEW,0,1,DATE_MISMATCH,1,0,1,1,1,0.0,14,0,1,1,1,0,0.0,0.0,0.0
PAY0046,DATE_MISMATCH,NO_EXCEPTION,0.9989,99.89,HIGH,BANK_AMOUNT_MISMATCH,0.0011,0,AI_FAILED_TO_DETECT_EXCEPTION,AI_FALSE_NEGATIVE_RISK,HIGH,MANDATORY REVIEW,0,1,DATE_MISMATCH,1,0,1,1,1,0.0,17,0,1,1,1,0,0.0,0.0,0.0
PAY0176,DATE_MISMATCH,NO_EXCEPTION,0.9989,99.89,HIGH,BANK_AMOUNT_MISMATCH,0.0011,0,AI_FAILED_TO_DETECT_EXCEPTION,AI_FALSE_NEGATIVE_RISK,HIGH,MANDATORY REVIEW,0,1,DATE_MISMATCH,1,0,1,1,1,0.0,14,0,1,1,1,0,0.0,0.0,0.0
